text_clean,sentiments,scores,features
konten2 dr kalang pemuda kini dr kalang didik universitas muncul acara bobot isi anak2 prestasi masya allah suka banget keren banget patut diviralkan,positive,0.9961546063423156,[ 4.338187  -1.6668723 -2.2373378]
indonesia kurang orang pintar orang jujur,negative,0.9968456625938416,[-2.2150729 -2.0419164  4.324222 ]
dibikn kelas smp,negative,0.7889474034309387,[-3.005234   0.6663233  2.0100343]
makan orang2 bisa2 pinter,negative,0.7910211086273193,[ 0.40993163 -2.225552    1.8102548 ]
acara gin seruuu,positive,0.9920794367790222,[ 3.8063028 -1.2341319 -2.687471 ]
keren banget hebat ruangguru ngumpulin anak2 hebat super deh salut urus orang habis babak,positive,0.9965507984161376,[ 4.308524  -1.9994824 -2.1048672]
buseeet ipk banyak 3 9 4 makan,negative,0.9837263226509094,[-1.3036002 -1.9940822  3.204549 ]
takut hujat netizen cukkk pinter gitu hiks,negative,0.997954487800598,[-2.2685142 -2.2465138  4.6257887]
keren bangett sumpaahh acara,positive,0.9958980679512024,[ 4.1083775 -2.0751374 -2.0787625]
nonton bareng eh dibanding2in,negative,0.9314053058624268,[-2.400468  -0.2064001  2.5077565]
tuh hebat banget menang sih nonton hebat sumpah,positive,0.9928638935089112,[ 3.8432653 -2.384017  -1.4134254]
https youtu diptbmzvbvo blf 77fdeqsjaqwh,neutral,0.980803906917572,[-1.6530993  2.8872466 -1.8342305]
ngpain takut hujat undang udh pintar2 ngehujat otak rata2 kosong ngehujat lolos ttp semngat,negative,0.996469497680664,[-2.002403  -2.0639827  4.3032084]
wuooohh,positive,0.9946343898773192,[ 3.97494   -1.7493079 -2.1773071]
sekolah,positive,0.4308002889156341,[ 0.21762466 -0.42490065 -0.01141293]
maasyaallah keren,positive,0.9964788556098938,[ 4.288357  -1.7658458 -2.4491198]
nonton merinding bad,negative,0.9051833152770996,[-0.02219216 -2.5870128   2.308117  ]
mas mbak makan beras pinter,positive,0.7415957450866699,[ 1.2099855  -0.03969364 -1.5731105 ]
ema ema neng lihat acara lomba,neutral,0.766727864742279,[-2.1212626   1.4189097   0.12878072]
aduh otak insecure,negative,0.9736673831939696,[-0.6165243 -2.3881211  3.1507933]
gagal brarti dungu,negative,0.9977591037750244,[-2.399295  -2.1452546  4.5275674]
org pintar bukn org prestasi tpi suka kakak pinter partisipasi kayak gin,positive,0.7364377975463867,[ 1.2353793  -1.3009409  -0.04212938]
hebaaat mudh mudhn ana pintar,negative,0.9833959341049194,[-0.7025986 -2.6667845  3.5100296]
langsung dukung almamater otomatis pas nonton tertawa,positive,0.9691277742385864,[ 2.682853  -1.0798228 -2.0691745]
ihh bisa2nya hujat cobaaa lihat wajah acara bangga pwoll kenal,negative,0.99204683303833,[-1.8437743 -2.1034648  3.554126 ]
kereen banget iniii truus biar motivasi abang ank2,positive,0.9843819737434388,[ 3.257876  -1.181771  -2.2472699]
min mantapppp,positive,0.9946464896202089,[ 4.187913  -1.2289228 -2.7805011]
sumpah menang indonesia bikin acara orientasi pintar buat pintar keren bro haru sumpah,positive,0.9856378436088562,[ 3.1378758 -2.0104175 -1.5994427]
baik kelas sukses berkah,positive,0.9924432635307312,[ 3.8413131 -1.2631421 -2.631675 ]
kaya gin media televisi stop bodoh publik tonton kualitas indonesia sdm bangga publish mala konten viral edukasi sx,negative,0.9774768948554992,[-1.3652894 -1.654139   2.9642591]
generasi depan bikin optimis perintah insyaf introspeksi besar presiden ipk cuman 2 koma bikin amburadul bangsa,negative,0.9874436259269714,[-1.4538897 -1.884616   3.4117982]
pinter nonton orang pinter,positive,0.9912944436073304,[ 3.6692302 -2.2832384 -1.4167752]
swmuaaa anak2 hebaaat,negative,0.9956032037734984,[-1.6210618 -2.632975   4.11148  ]
kok banget habis nonton kemarin sekolah kuliah yak,negative,0.9920365810394288,[-2.2870843 -1.4978628  3.7014902]
rekomendasi acara murid murid biar nonton,neutral,0.5504595041275024,[ 1.0870724  1.3107444 -2.7587144]
terimakasih ruang guru adain clash champion bnr bnr takjub lihat anak2 syaa allah,positive,0.9910682439804076,[ 3.5951996 -1.5767763 -2.1069057]
pingin barangkali dr serta hafal alqur,neutral,0.8119837045669556,[ 0.49563262  1.9967535  -2.7509592 ]
orang orang sontek kawan belah uji ulang,negative,0.9853228330612184,[-2.7283344 -0.8213714  3.5237849]
suruh marsel bginian sblm nyalon tangerang,negative,0.7047290802001953,[-3.323961   1.0845251  1.9665453]
emak anak 3 lihat viral jiwa ambis kompetisi buncah guru btw hepiiii,positive,0.8791859745979309,[ 1.9447329  -1.5819242  -0.28077418]
amaziing,positive,0.8564319610595703,[ 1.46041   -1.4222435 -0.7319848]
tim rewatch,neutral,0.6241450905799866,[-0.99918383  0.47820514 -0.5054046 ]
ronde 1 main samgong cepat,positive,0.868770956993103,[ 1.4806471 -0.9110947 -1.3397691]
kayak seru jabat adu,negative,0.8673602342605591,[-0.28289425 -1.6456345   1.8228226 ]
keren banget ide acara,positive,0.9964332580566406,[ 4.3045654 -1.6987199 -2.4998262]
acara viralin indonesia biar orang motivasi ajar,negative,0.9861249327659608,[-1.7656739 -1.657784   3.2465656]
spicless bangett nonton buka bangga terharuu smpe netesin air mata orang tua libat dalam bangga banget,positive,0.9883432984352112,[ 3.430165  -2.2988124 -1.332375 ]
masyallah keren takjub,positive,0.9957574009895324,[ 4.0720506 -1.9920939 -2.1750817]
masyallah moga anak anak kelak orang pandai cerdas kakak kakak bangga banget,positive,0.9931550621986388,[ 3.8086119 -1.8165264 -1.9094652]
maxwell,positive,0.4603891372680664,[ 0.24089223 -0.14551668 -0.46720058]
deh nangiss suka lihat orang2 pinter sukses competitor,positive,0.9921343326568604,[ 3.7369173 -2.0174212 -1.610816 ]
nonton langsung mikir urutin otak baris yaaaa,negative,0.715232253074646,[-0.84584355 -0.37287548  1.0324266 ]
masya allah anak pintarr moga anak anak pintar sukses aamiin,positive,0.986500918865204,[ 3.3072944 -1.5228444 -1.8602891]
pas nama nama univ dr ln tampilin merinding banget,negative,0.919774889945984,[-1.6520132 -0.7560838  2.025541 ]
anak anak hebat keren,positive,0.9970080256462096,[ 4.43139   -1.87586   -2.3125854]
acara ruang guru,neutral,0.9851736426353456,[-1.2726473  3.253221  -2.2137208]
tetep,positive,0.9892926216125488,[ 3.599173  -1.1864114 -2.4027793]
emilda univ unair dokter bilang takdir dokter ngeri2 sedapp nnt pasien pasien died bilang takdir mental maju gk bilang usaha keras baik,negative,0.9899735450744628,[-1.3638885 -2.0714602  3.629246 ]
henti henti merinding nonton anak2 mampu otak rata yang milik privillege orang tua manfaat privillege iq semangat,positive,0.6759839653968811,[ 1.0792766e+00 -8.8863128e-01 -7.8074512e-04]
kayak lanjur kejang lihat angka,negative,0.9964080452919006,[-2.971421  -1.5260048  4.3110566]
ronde 1 ui ui ui salah ui salah 1 univ baik,neutral,0.4670490324497223,[ 0.14776367  0.3250484  -0.8671226 ]
tuh anak sombong rambut keriting pke kacamata menggampangkn moga lolos,negative,0.9979221224784852,[-2.6547472 -1.999499   4.593078 ]
sman 1 glagah nyala,neutral,0.9776737689971924,[-1.2430788  2.8137453 -2.383443 ]
allah mwedok e cindo surabaya reekkk dukung maxwell,negative,0.3920344114303589,[-0.34584033 -0.56238776 -0.19388542]
banget acara kaya gin ayo maju generasi anak muda indonesia keep spirit struggle try,positive,0.9776970148086548,[ 3.0125802 -0.9945205 -2.363551 ]
kayak shakira ngitungnya angka 1 kali angka 2 kali total makanua cepet hitung satu2 sih,negative,0.8558903932571411,[-1.2858534  -0.40278444  1.7248611 ]
asa banget kaya nonton ejen ali euyyy parahhh,negative,0.9976293444633484,[-2.6306593 -2.0459611  4.4391894]
keren,positive,0.9971580505371094,[ 4.437896  -1.8782336 -2.4276972]
terima kasih ruang guru saji tayang didik tambah inspirasi anak bangsa asah cerdas mampu,positive,0.9855685830116272,[ 3.4902685  -0.90734607 -2.5690572 ]
keren banget,positive,0.997103750705719,[ 4.4456215 -1.8129387 -2.4716065]
moga tular pinternyaaa,positive,0.992042601108551,[ 3.7741244 -2.1314368 -1.4665024]
ksh makan sih pda pinter2 banget iri,negative,0.983375608921051,[-0.9308765 -2.6631553  3.3121111]
sandy gk episode 1,neutral,0.5621733069419861,[-2.3360107  0.9505654  0.6513899]
keren,positive,0.9971580505371094,[ 4.437896  -1.8782336 -2.4276972]
unej jember nihh,neutral,0.9728078842163086,[-0.66421515  3.0131865  -2.9148962 ]
yaallah pingin pinterr sperti orang orang,positive,0.7224223017692566,[ 1.4904125  -2.024772    0.45333615]
hebat hebat banget abai netizen bicara aneh semangatt orang hebat,negative,0.9858001470565796,[-0.69928074 -2.8963969   3.6463144 ]
tim nonton2 bae erti,neutral,0.4771333336830139,[-0.5524465  -0.04744618 -0.7560223 ]
opening vidio merinding bad,negative,0.9088867902755736,[-0.3686113 -2.1611898  2.08554  ]
nan,positive,0.5520077347755432,[ 0.5400192  -0.94198436  0.00282718]
allahumasolialasaidinamuhamad waalaalisaidinamuhamad moga kelak anak kuu salah dr,positive,0.693000078201294,[ 1.0586358  -0.5440516  -0.36164367]
hebat,positive,0.9968438148498536,[ 4.4388003 -1.7620482 -2.339341 ]
astaga keren sih nyala sungguh,positive,0.9933419823646544,[ 3.7591293 -2.0255423 -1.8598428]
insecure berat nonton clash champions,negative,0.9546668529510498,[-0.77247876 -2.1876366   2.4922817 ]
takut hujat netijen semangat adek adek hebaaaat,negative,0.9981570839881896,[-2.6223485 -2.1389518  4.6359944]
baik,positive,0.9844181537628174,[ 3.2527838 -1.2690318 -2.0537283]
keren banget orang pinter,positive,0.996684730052948,[ 4.3247356 -2.0049787 -2.1487734]
emak2 anak 3 hadir umur 6 5 4 8 moga ngedidik biar pinter2 jg aamiin,positive,0.8894805908203125,[ 1.9682926  -0.30838105 -1.8655382 ]
tonton kualitas inspiratif,positive,0.985698401927948,[ 3.3161356 -1.1448641 -2.5070083]
acara kaya program dikorea,positive,0.8337936401367188,[ 1.5490506  -1.3418701  -0.39019525]
indonesia kurang orang pintar kurang orang jujur,negative,0.9960592985153198,[-2.5190709 -1.7434906  4.1676817]
coba program uji nakal pikir non exact seruuu cerdas sukses exact melulu,negative,0.8793419003486633,[-1.9388922e-03 -2.0706358e+00  2.1032569e+00]
masa bawah anak anak non exact tangguh exact peluang sdm kerja nakal pikir anak anak non exact,negative,0.9958648681640624,[-2.357175  -1.5507555  4.3024597]
semangat didik anak biar cerdas pinter prestasi,positive,0.9871382713317872,[ 3.34246   -1.9176533 -1.5067413]
mamak anak 2 suka banget nonton acara hati doa moga anak2,positive,0.9940646290779114,[ 4.324357   -0.89451283 -3.1677303 ]
inti atas,positive,0.7051791548728943,[ 1.4074047   0.46012777 -2.0897381 ]
university war korea,neutral,0.9499619007110596,[-0.90797466  2.2913356  -2.141268  ]
kumpul mahasiswa ng bakar ban bekas,negative,0.7904590368270874,[-3.95797    1.2516327  2.5847762]
bikin smngat blajar wlaupun deh selesai skolahnya,positive,0.9267913103103638,[ 2.6248415   0.02138471 -2.678646  ]
kerennn banget motivasi beljar bljar bljar,positive,0.9946264624595642,[ 4.077224  -1.5863433 -2.1717403]
parah banget editorny ngajarin mecahin soalny cpetin,negative,0.997761368751526,[-2.4498165 -2.1818893  4.4859123]
yegasa bilang gampang,positive,0.6983277797698975,[ 1.4764413   0.58430594 -2.33066   ]
kuliah cita2 kerja salah atw,negative,0.995047688484192,[-2.7997563 -1.2726406  4.2268043]
capai slalu baca allahumma sholli ala sayyidina muhammad moga nurun anak gusti allah sampek deg,positive,0.9428715109825134,[ 2.534599   -0.38588655 -2.473674  ]
nyadar konsep variety show korea university war cmn acak uni korea uni 1 tim level gamesnya korea lbh logical reasoning mathematical logic season 2 coba tipe2 games korea murni hafal mati tes cerdas,neutral,0.7828546762466431,[-0.8453703   1.1707994  -0.76567286]
acara bagus bikin acara clash coding wak isi programmer profesional,positive,0.9893985986709596,[ 3.6701272 -1.1228572 -2.350847 ]
seru adik adik,positive,0.9954631924629213,[ 4.07246   -1.795639  -2.2876143]
keren banget,positive,0.997103750705719,[ 4.4456215 -1.8129387 -2.4716065]
orang orang pinter ambisi menang beda,negative,0.8884704113006592,[ 0.08260328 -2.0327678   2.2716687 ]
serius acara keren,positive,0.996393620967865,[ 4.2669754 -1.6881553 -2.614319 ]
sih iri iri banget pdhl umur udh 30 berkat acara motivasi kuliah murah terima kasih,negative,0.6731398701667786,[ 0.70545983 -2.428339    1.470511  ]
apresiasi editor episode jj doang mikir konsep urut reaction scene action scene fx bingngung tuh,negative,0.9431487321853638,[-0.97096604 -1.2001239   2.4229379 ]
orang2 keren2 yahhh,positive,0.995650351047516,[ 4.1746216 -1.5496702 -2.6350815]
kesini gara gara nonton podcast bang densu penasaraannn,positive,0.9405478239059448,[ 2.2127068 -0.9405261 -1.6747998]
semenjak acara anak2 semangat banget ken orang pinter kayak kaka2 moga anak2ku orng2 soleh pintar manfaat aamiin,positive,0.9895065426826476,[ 3.5218    -1.4598002 -2.0664213]
khas banget orang2 pinter iq bicara saklek bener suami suka olim serasa dy ginian tanyangin gimna,positive,0.8704447150230408,[ 2.3141797 -2.2232962  0.3346755]
kemendikbud toel cik meh terangen aya acara ieu,negative,0.5219107270240784,[-1.1805341   0.04221888  0.38797948]
merinding banget pas opening kenal 1 1 kontestan keren,negative,0.8645147681236267,[-0.05457922 -2.5378563   1.8788943 ]
ugm itb ipk 4 00 pas ibu hamil makan turun pinter beudhh,positive,0.8686151504516602,[ 1.6779448  -0.86698    -0.94238317]
banyakin kaya gin gk sih acara indo,neutral,0.601504921913147,[-1.112056    0.8215485   0.16351932]
kereeeeeeen acara kualitas tahan,positive,0.990714430809021,[ 3.4684117 -2.2985756 -1.6078162]
kayak university war acara korsel hhh,negative,0.805075466632843,[-0.47462112 -1.0431552   1.3924539 ]
keren banget best pokok,positive,0.9973161816596984,[ 4.5320206 -1.9121042 -2.2793458]
ken sekolah,negative,0.5750121474266052,[-0.90250427 -0.16503742  0.5282021 ]
nan,positive,0.5520077347755432,[ 0.5400192  -0.94198436  0.00282718]
sebenernya gagal pantes hujat sihh ngehujat intropeksi kayak emg,negative,0.9976885318756104,[-2.4995253 -1.9956081  4.544562 ]
bodoh banget,negative,0.9981995820999146,[-2.4854012 -2.146491   4.709433 ]
allah keren bangettttt,positive,0.995924472808838,[ 4.1382313 -1.8677528 -2.2819858]
konten kelas contoh anak muda skrang,negative,0.9324381351470948,[-2.2561586 -0.2097703  2.5364995]
ngitung tiap ronde pakai kalkulator jawabanya salah kasih ilmu,negative,0.996716320514679,[-2.4238946 -1.5895965  4.486524 ]
situ langsung sebaat puyeng,negative,0.9973481893539428,[-2.572145  -1.9704208  4.396334 ]
kren banget paraaahhhhhh,positive,0.9752851724624634,[ 3.0385087 -2.423562  -0.8201443]
univ panca marga yah,neutral,0.944446861743927,[-0.46908492  2.464206   -2.7209141 ]
kerennnnnnn,positive,0.9970794916152954,[ 4.375511  -1.9547609 -2.3946922]
adil anak ips hai adu matematika juara2 olimpiadr sains,positive,0.9569430947303772,[ 2.4267502 -1.168144  -1.6170535]
nan,positive,0.5520077347755432,[ 0.5400192  -0.94198436  0.00282718]
emak emak kaya ikut acara kaya gin sih suka banget deh lihat acara,positive,0.9954015016555786,[ 4.4577575 -1.0551462 -2.9855373]
allahumma sholli ala sayyidina muhammad wa ala ali sayyidina muhammad,positive,0.4679532051086426,[ 0.4335027   0.28161874 -0.84707123]
keren banget sih acara syakira langsung sholawatin biar anak besok jenius,positive,0.9921457171440125,[ 3.7562912 -1.5000439 -2.1574264]
masuk netflixxxxx,neutral,0.9832702875137328,[-2.2975037  2.9444926 -1.501559 ]
eng sub,negative,0.5642758011817932,[-0.60531795 -0.22195946  0.5563012 ]
yesaya said gampang,positive,0.8705087304115295,[ 1.7029691  -0.64747685 -1.2264724 ]
baik seluruh indonesia eliminasi,neutral,0.5895384550094604,[ 0.812489   1.2018105 -2.7760446]
unj gk,negative,0.8684077858924866,[-1.2458959 -0.6780922  1.6578768]
keren banget kesini krna nonton podcast densu moga anak banyakin acara biar motivasi anak muda indonesia,positive,0.9941573143005372,[ 4.045546  -1.3450747 -2.5861747]
fact solved ten times time wrong different gave spirit 10 23 boy skip question cuz stressing soo relatable,neutral,0.7745023369789124,[-2.839075    1.9367523   0.67345625]
kasih panggung haters buang buang,negative,0.997459590435028,[-2.6289058 -2.0377939  4.3757215]
allah anak anak guru haru bangga anak anak bangsa pintar prestasi haru juang orang tua guru guru moga sukses anak anak,positive,0.9671728014945984,[ 2.643547  -1.5716963 -1.3107241]
seruuuuuu banget asliiiii ikut tegang,negative,0.9703734517097472,[-0.7931149 -2.5707812  2.852074 ]
pinter sih bnyak ngondek boook,positive,0.6386027932167053,[ 1.6074836 -2.6196046  1.0120506]
coba peminpin kaya gin,neutral,0.6090158820152283,[-2.744497   1.321628   0.8513837]
keren parah,positive,0.9857154488563538,[ 3.484529  -2.883596  -0.8756497]
p,negative,0.8426318168640137,[-0.38056716 -1.1539894   1.676791  ]
anjing ronde 2 sadar ngitung cepat,negative,0.9588234424591064,[-3.1416972   0.02183951  3.2110822 ]
g tyang ditv pdhl keren banget,positive,0.9957029223442078,[ 4.2490034 -1.451839  -2.686639 ]
nyangka nama lika kaya namakuu pdhl nama limited jrang nma,negative,0.9138857126235962,[-1.1288781 -1.0381223  1.9727067]
mantap,positive,0.997199773788452,[ 4.5975294 -1.5799172 -2.62162  ]
om ded om deny rafi adu seru om andre lhooo,neutral,0.6669856905937195,[ 1.2472961  1.9483231 -3.794136 ]
merindinggg,negative,0.805087149143219,[ 0.34148338 -2.3208842   1.8273371 ]
eh ruang guru tuh ngebantu banget belajarrr,positive,0.9921259880065918,[ 3.7677076 -1.7859547 -1.7380558]
orang orang pinter orang orang pinter,positive,0.7941440343856812,[ 1.7554387  -2.042678    0.31491837]
ternyta rangin komentar serta banyakin scene serta,neutral,0.7699732780456543,[ 0.11562335  1.4358056  -2.0169027 ]
otak kobong ngitung kali ratus pusingg stresss,negative,0.9976651668548584,[-2.611758  -1.8578811  4.585193 ]
xaviera muncul episode guys,neutral,0.9954051971435548,[-2.3872807  3.7363825 -2.285312 ]
ngerjain greget bangga,positive,0.978643000125885,[ 3.199721  -2.5195658 -0.7880507]
seru keren banget ponakan anak moga cerdas hebat,positive,0.9959638118743896,[ 4.173979  -1.9385461 -2.1253226]
keren sih inovasi ruang guru bikin acara kaya gin motivasi anak anak semangat ajar emak anak 2 ken sekolah lg,positive,0.9943417310714722,[ 4.0145283 -1.6840153 -2.0432658]
wey masya allah pinter nyaa euyy,positive,0.992944061756134,[ 3.8252404 -1.9046904 -1.7321603]
terharuu,positive,0.992306649684906,[ 3.6897886 -2.1249666 -1.6556653]
neng lihat ginian knapa kakak,negative,0.9930480122566224,[-3.3583708 -1.0558877  4.0011744]
alhamdulilah cabang ruang guru bimbel cilegon,positive,0.6941876411437988,[ 1.9569706  1.1264944 -3.4051468]
wow anak unhas,positive,0.9692239165306092,[ 3.1264074  -0.39296564 -3.0227754 ]
fix ibnu modal nyontek ipk segitu,negative,0.9092456698417664,[-2.5997205e+00  3.1374139e-04  2.3764155e+00]
